Curriculum,Computer Engineering,,,,,,,,,
Degree Plan,Computer Engineering/ Eighth,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,14.0901,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
2,CSE 8A,CSE,8A,,,,4,,,1
1,MATH 20A,MATH,20A,,,,4,,,1
5,CSE 8B,CSE,8B,2,,,4,,,2
3,MATH 20B,MATH,20B,1,,,4,,,2
4,CSE 20,CSE,20,2,,,4,,,2
9,PHYS 2A,PHYS,2A,1;1,,,4,,,3
6,MATH 18,MATH,18,,,,4,,,3
8,CSE 15L,CSE,15L,5,,,2,,,3
7,CSE 12,CSE,12,5,,,4,,,3
10,MATH 20C,MATH,20C,3,,,4,,,4
13,PHYS 2B,PHYS,2B,9;3,,,4,,,4
11,ECE 35,ECE,35,6;1;3;9,,,4,,,4
12,CSE 21,CSE,21,4,,,4,,,4
16,CSE 30,CSE,30,7;8,,,4,,,5
15,ECE 45,ECE,45,11,,,4,,,5
14,MATH 20D,MATH,20D,10,,,4,,,5
17,PHYS 2C,PHYS,2C,9;10,,,4,,,5
19,ECE 109,ECE,109,1;3;10;14;6,,,4,,,6
18,ECE 65,ECE,65,11,,,4,,,6
20,CSE 100,CSE,100,12;7;8;16,,,4,,,6
22,CSE 110,CSE,110,20,,,4,,,7
21,CSE 101,CSE,101,12;7,,,4,,,7
35,CSE / ECE ELECTIVE 1,,,,,,4,,,7
23,ECE 101,ECE,101,15,,,4,,,8
24,CSE 140,CSE,140,4;16,,,4,,,8
25,CSE 140L,CSE,140L,4;16,,,2,,,8
28,ECE 111 (OR ECE 140B),ECE,111,24,,,4,,,9
26,CSE 141 (OR CSE 142),CSE,141,16;24;25,,,4,,,9
27,CSE 141L (OR CSE 142L),CSE,141L,16;24;25,,,2,,,9
36,TECHNICAL ELECTIVE,,,,,,4,,,9
29,CSE 120,CSE,120,8;16;20;21,,,4,,,10
37,CSE / ECE ELECTIVE 2,,,,,,4,,,10
30,ECE 108,ECE,108,24;16;15,,,4,,,11
38,CSE / ECE ELECTIVE 3,,,,,,4,,,11
39,CSE / ECE ELECTIVE 4,,,,,,4,,,12
40,CSE / ECE ELECTIVE 5,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
41,BREADTH GE 1,,,,,,4,,,1
42,DEI,,,,,,4,,,1
31,CCE 1,CCE,1,,,,4,,,2
32,CCE 2,CCE,2,31,,,4,,,4
33,CCE 3,CCE,3,,,,4,,,6
43,BREADTH GE 2,,,,,,4,,,7
44,BREADTH GE 3,,,,,,4,,,8
34,CCE 120,CCE,120,33,,,4,,,10
45,BREADTH GE 4,,,,,,4,,,11
46,BREADTH GE 5,,,,,,4,,,11
47,BREADTH GE 6,,,,,,4,,,12
