Curriculum,Mathematics (Applied),,,,,,,,,
Degree Plan,Mathematics (Applied)/ Eighth,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,27.0301,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
2,MATH 20B,MATH,20B,1,,,4,,,2
3,MATH 18,MATH,18,,,,4,,,2
4,MATH 20C,MATH,20C,2,,,4,,,3
5,MATH 20D / MATH 109,MATH,20D,4,,,4,,,4
6,CSE 11,CSE,11,,,,4,,,4
7,MATH 109 / MATH 20D,MATH,109,3;4,,,4,,,5
13,UD MAJOR 1,,,,,,4,,,5
8,MATH 20E,MATH,20E,3;4,,,4,,,6
14,UD MAJOR 2,,,,,,4,,,7
15,UD MAJOR 3,,,,,,4,,,7
16,UD MAJOR 4,,,,,,4,,,8
17,UD MAJOR 5,,,,,,4,,,8
18,UD MAJOR 6,,,,,,4,,,9
19,UD MAJOR 7,,,,,,4,,,9
20,UD MAJOR 8,,,,,,4,,,10
21,UD MAJOR 9,,,,,,4,,,10
22,UD MAJOR 10,,,,,,4,,,11
23,UD MAJOR 11,,,,,,4,,,11
24,UD MAJOR 12,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
25,BREADTH GE 1,,,,,,4,,,1
26,DEI,,,,,,4,,,1
9,CCE 1,CCE,1,,,,4,,,2
27,BREADTH GE 2,,,,,,4,,,2
28,BREADTH GE 3,,,,,,4,,,3
29,BREADTH GE 4,,,,,,4,,,3
30,ELECTIVE 1,,,,,,4,,,3
10,CCE 2,CCE,2,9,,,4,,,4
31,ELECTIVE 2,,,,,,4,,,4
32,BREADTH GE 5,,,,,,4,,,5
33,ELECTIVE 3,,,,,,4,,,5
11,CCE 3,CCE,3,,,,4,,,6
34,BREADTH GE 6,,,,,,4,,,6
35,ELECTIVE 4,,,,,,4,,,6
36,BREADTH GE 7,,,,,,4,,,7
37,ELECTIVE 5,,,,,,4,,,7
38,BREADTH GE 8,,,,,,4,,,8
39,ELECTIVE 6,,,,,,4,,,8
12,CCE 120,CCE,120,,,,4,,,9
40,ELECTIVE 7,,,,,,4,,,10
41,ELECTIVE 8,,,,,,4,,,10
42,ELECTIVE 9,,,,,,4,,,11
43,ELECTIVE 10,,,,,,4,,,11
44,UD ELECTIVE,,,,,,4,,,12
45,ELECTIVE 11,,,,,,4,,,12
