Curriculum,Public Health with Concentration in Climate and Environmental Sciences,,,,,,,,,
Degree Plan,Public Health with Concentration in Climate and Environmental Sciences/ Revelle,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,51.2202,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 10A / 20A,MATH,10A,,,,4,,,1
2,BILD 1 (BIOLOGY GE),BILD,1,,,,4,,,1
4,BILD 2 (NAT SCI GE),BILD,2,2,,,4,,,2
3,MATH 10B / 20B,MATH,10B,1,,,4,,,2
6,BILD 3 (NAT SCI GE),BILD,3,,,,4,,,3
5,MATH 11,MATH,11,3,,,5,,,3
8,FMPH 40,FMPH,40,,,,4,,,4
22,SOCIAL / BEHAV SCIENCE (SOCIAL SCIENCE GE - SEE NOTE) 1,,,,,,4,,,4
7,CHEM 6A (CHEM GE),CHEM,6A,,,,4,,,4
10,FMPH 50 / FMPH 110 1,FMPH,50,,,,4,,,5
23,SOCIAL / BEHAV SCIENCE (SOCIAL SCIENCE GE - SEE NOTE) 2,,,,,,4,,,5
9,CHEM 6B,CHEM,6B,7;1,,,4,,,5
24,FMPH 50 / FMPH 110 2,FMPH,50,,,,4,,,6
11,CHEM 6C,CHEM,6C,9,,,4,,,6
12,FMPH 101 / FMPH 102 1,FMPH,101,8;5,,,4,,,7
25,MAJOR CONCENTRATION UDE 1,,,,,,4,,,7
26,FMPH 101 / FMPH 102 2,FMPH,101,8;5,,,4,,,8
13,USP 143,USP,143,,,,4,,,8
14,FMPH 120 / FMPH 130 1,FMPH,120,8,,,4,,,9
27,MAJOR CONCENTRATION UDE 2,,,,,,4,,,9
28,FMPH 120 / FMPH 130 2,FMPH,120,8,,,4,,,10
29,FMPH UDE,,,,,,4,,,10
15,FMPH 193,FMPH,193,,,,4,,,11
30,MAJOR UDE 1,,,,,,4,,,11
16,FMPH 194,FMPH,194,15,,,4,,,12
31,MAJOR UDE 2,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
32,FINE ARTS GE,,,,,,4,,,1
33,DEI,,,,,,4,,,1
17,HUM 1,HUM,1,,,,6,,,2
18,HUM 2,HUM,2,,,,6,,,3
19,HUM 3,HUM,3,17,,,4,,,4
20,HUM 4,HUM,4,,,,4,,,5
21,HUM 5,HUM,5,,,,4,,,6
34,ELECTIVE 1,,,,,,4,,,6
35,PHYSICS GE,,,,,,4,,,7
36,LANGUAGE 1,,,,,,5,,,7
37,LANGUAGE 2,,,,,,5,,,8
38,LANGUAGE 3,,,,,,5,,,9
39,UD ELECTIVE 1,,,,,,4,,,10
40,LANGUAGE 4,,,,,,5,,,10
41,UD ELECTIVE 2,,,,,,4,,,11
42,ELECTIVE 2,,,,,,4,,,12
43,AHI / ELECTIVE,,,,,,4,,,12
