Curriculum,Physics with Specialization in Earth Science,,,,,,,,,
Degree Plan,Physics with Specialization in Earth Science/ Eighth,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,40.0899,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
2,MATH 18,MATH,18,,,,4,,,1
1,MATH 20A,MATH,20A,,,,4,,,1
4,PHYS 4A,PHYS,4A,1,,,4,,,2
3,MATH 20B,MATH,20B,1,,,4,,,2
26,PROGRAMMING,,,,,,4,,,2
6,PHYS 4B,PHYS,4B,4;1;3,,,4,,,3
5,MATH 20C,MATH,20C,3,,,4,,,3
7,PHYS 4C,PHYS,4C,4;4;4;6;6;6;1;3;5;2,,,4,,,4
8,MATH 20E,MATH,20E,2;5,,,4,,,4
11,PHYS 4D,PHYS,4D,4;6;7;1;3;5;8;2,,,4,,,5
10,MATH 20D,MATH,20D,5,,,4,,,5
9,PHYS 2CL,PHYS,2CL,4;7,,,2,,,5
12,PHYS 4E,PHYS,4E,4;6;7;11;1;3;5;10;8;2,,,4,,,6
27,PHYS LD BREADTH,,,,,,6,,,6
13,PHYS 2DL,PHYS,2DL,9,,,2,,,7
15,PHYS 100A,PHYS,100A,4;6;7;11;1;3;5;10;8;2,,,4,,,7
14,PHYS 110A,PHYS,110A,4;6;7;11;1;3;5;10;8;2,,,4,,,7
17,PHYS 100B,PHYS,100B,15;1;3;5;10;8;2,,,4,,,8
16,PHYS 105A,PHYS,105A,6;7;11;12;1;3;5;10;8;2,,,4,,,8
19,PHYS 120,PHYS,120,4;6;7;9,,,5,,,9
18,PHYS 130A,PHYS,130A,4;6;7;11;12;15;14,,,4,,,9
21,PHYS 130B,PHYS,130B,18;17,,,4,,,10
20,PHYS 140A,PHYS,140A,18,,,4,,,10
28,PHYS UD RE 1,,,,,,4,,,10
29,PHYS UD DEPTH 1,,,,,,4,,,11
30,PHYS UD RE 2,,,,,,4,,,11
31,PHYS UD LAB,,,,,,4,,,11
32,PHYS UD DEPTH 2,,,,,,4,,,12
33,PHYS UD RE 3,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
34,DEI,,,,,,4,,,1
22,CCE 1,CCE,1,,,,4,,,2
35,BREADTH GE 1,,,,,,4,,,3
36,ELECTIVE 1,,,,,,4,,,3
23,CCE 2,CCE,2,22,,,4,,,4
37,BREADTH GE 2,,,,,,4,,,4
38,BREADTH GE 3,,,,,,4,,,5
24,CCE 3,CCE,3,,,,4,,,6
39,BREADTH GE 4,,,,,,4,,,6
40,BREADTH GE 5,,,,,,4,,,7
41,BREADTH GE 6,,,,,,4,,,8
42,ELECTIVE 2,,,,,,4,,,8
25,CCE 120,CCE,120,,,,4,,,9
43,ELECTIVE 3,,,,,,4,,,10
44,ELECTIVE 4,,,,,,1,,,10
45,ELECTIVE 5,,,,,,4,,,11
46,ELECTIVE 6,,,,,,4,,,12
