Curriculum,Urban Studies and Planning,,,,,,,,,
Degree Plan,Urban Studies and Planning/ Eighth,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,45.1201,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,USP 1: HISTORY OF US URBAN COMMUNITIES (ALSO FULFILLS DEI),USP,1,,,,4,,,4
2,USP 4 INTRODUCTION TO GEOGRAPHIC INFORMATION SYSTEMS,USP,4,,,,4,,,4
3,USP 2 URBAN WORLD SYSTEM,USP,2,,,,4,,,5
5,LOWER DIVISION STATISTICS (POLI 30D / PSYC 60 / SOCI 60),POLI,30D,,,,4,,,6
4,USP 3 THE CITY AND SOCIAL THEORY,USP,3,,,,4,,,6
13,USP UPPER DIVISION ELECTIVE 1,,,,,,4,,,7
6,USP 124 LAND USE PLANNING,USP,124,,,,4,,,7
14,USP TECHNICAL ELECTIVE,,,,,,4,,,8
15,USP SECOND FOUNDATION,,,,,,4,,,8
16,USP UPPER DIVISION ELECTIVE 2,,,,,,4,,,9
17,USP RESEARCH METHODS,,,,,,4,,,9
7,USP 186 SENIOR SEQUENCE RESEARCH PROPOSAL (FALL ONLY),USP,186,6,,,6,,,10
18,USP UPPER DIVISION ELECTIVE 3,,,,,,4,,,10
8,USP 187 SENIOR SEQUENCE RESEARCH PROJECT (WINTER ONLY),USP,187,7,,,6,,,11
19,USP UPPER DIVISION ELECTIVE 4,,,,,,4,,,11
20,USP UPPER DIVISION ELECTIVE 5,,,,,,4,,,12
21,USP UPPER DIVISION ELECTIVE 6,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
22,BREADTH GE 1,,,,,,4,,,1
23,BREADTH GE 2,,,,,,4,,,1
24,ELECTIVE 1,,,,,,4,,,1
9,CCE 1,CCE,1,,,,4,,,2
25,BREADTH GE 3,,,,,,4,,,2
26,ELECTIVE 2,,,,,,4,,,2
27,BREADTH GE 4,,,,,,4,,,3
28,BREADTH GE 5,,,,,,4,,,3
29,ELECTIVE 3,,,,,,4,,,3
30,ELECTIVE 4,,,,,,4,,,3
10,CCE 2,CCE,2,,,,4,,,4
31,ELECTIVE 5,,,,,,4,,,4
32,BREADTH GE 6,,,,,,4,,,5
33,ELECTIVE 6,,,,,,4,,,5
34,ELECTIVE 7,,,,,,4,,,5
11,CCE 3,CCE,3,,,,4,,,6
35,ELECTIVE 8,,,,,,4,,,6
36,BREADTH GE 7,,,,,,4,,,7
37,ELECTIVE 9,,,,,,4,,,7
38,ELECTIVE 10,,,,,,4,,,8
39,ELECTIVE 11,,,,,,4,,,8
12,CCE 120,CCE,120,,,,4,,,9
40,UD ELECTIVE,,,,,,4,,,10
41,ELECTIVE 12,,,,,,4,,,10
42,ELECTIVE 13,,,,,,4,,,11
43,ELECTIVE 14,,,,,,4,,,11
44,ELECTIVE 15,,,,,,4,,,12
