Curriculum,Black Diaspora & African American Studies,,,,,,,,,
Degree Plan,Black Diaspora & African American Studies/ Revelle,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,05.0201,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
7,LD BDAAS CORE / SOCIAL SCIENCE GE,,,,,,4,,,1
8,UD BDAAS CORE 1,,,,,,4,,,7
9,UD BDAAS CONCENTRATION ELECTIVE 1,,,,,,4,,,7
10,UD BDAAS CORE 2,,,,,,4,,,8
11,UD BDAAS HUMAN RESEARCH METHODS,,,,,,4,,,8
12,UD BDAAS CORE 3,,,,,,4,,,9
13,UD BDAAS CONCENTRATION ELECTIVE 2,,,,,,4,,,9
14,UD BDAAS CONCENTRATION ELECTIVE 3,,,,,,4,,,10
15,UD ADDITIONAL BDAAS ELECTIVE,,,,,,4,,,10
16,UD BDAAS CONCENTRATION ELECTIVE 4,,,,,,4,,,11
17,UD BDAAS CONCENTRATION ELECTIVE 5,,,,,,4,,,11
18,UD BDAAS CORE - CAPSTONE,,,,,,4,,,12
19,UD BDAAS CONCENTRATION ELECTIVE 6,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 10A / 20A,MATH,10A,,,,4,,,1
20,PHYSICS GE,,,,,,4,,,1
2,HUM 1,HUM,1,,,,6,,,2
21,MATH GE 1,,,,,,4,,,2
22,CHEMISTRY GE,,,,,,4,,,2
3,HUM 2,HUM,2,,,,6,,,3
23,MATH GE 2,,,,,,4,,,3
24,BIOLOGY GE,,,,,,4,,,3
4,HUM 3,HUM,3,2,,,4,,,4
25,NATURAL SCIENCE GE,,,,,,4,,,4
26,LANGUAGE 1,,,,,,5,,,4
27,ELECTIVE 1,,,,,,4,,,4
5,HUM 4,HUM,4,,,,4,,,5
28,NATURAL SCIENCE GE / CCER,,,,,,4,,,5
29,LANGUAGE 2,,,,,,5,,,5
30,ELECTIVE 2,,,,,,4,,,5
6,HUM 5,HUM,5,,,,4,,,6
31,LANGUAGE 3,,,,,,5,,,6
32,FINE ARTS GE,,,,,,4,,,6
33,ELECTIVE 3,,,,,,4,,,6
34,LANGUAGE 4,,,,,,5,,,7
35,ELECTIVE 4,,,,,,4,,,7
36,SOCIAL SCIENCE GE,,,,,,4,,,8
37,ELECTIVE 5,,,,,,4,,,8
38,ELECTIVE 6,,,,,,4,,,9
39,ELECTIVE 7,,,,,,4,,,9
40,UD DEI,,,,,,4,,,10
41,UD ELECTIVE 1,,,,,,4,,,10
42,UD ELECTIVE 2,,,,,,4,,,11
43,AHI / ELECTIVE,,,,,,4,,,12
