Curriculum,Chemical Engineering,,,,,,,,,
Degree Plan,Chemical Engineering/ Revelle,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,14.0701,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
2,MATH 20A (MATH GE),MATH,20A,,,,4,,,1
3,CHEM 6A (NAT SCI GE),CHEM,6A,,,,4,,,1
1,CENG 4,CENG,4,,,,1,,,1
4,CENG 15,CENG,15,,,,4,,,1
7,MATH 20B (MATH GE),MATH,20B,2,,,4,,,2
5,CHEM 6B (NAT SCI GE),CHEM,6B,3;2,,,4,,,2
6,PHYS 2A (NAT SCI GE),PHYS,2A,2;2,,,4,,,2
9,MATH 20C (MATH GE),MATH,20C,7,,,4,,,3
11,CHEM 6C (NAT SCI GE),CHEM,6C,5,,,4,,,3
8,PHYS 2B,PHYS,2B,6;7,,,4,,,3
10,CHEM 7L,CHEM,7L,5,,,4,,,3
15,MATH 20D,MATH,20D,9,,,4,,,4
14,CENG 100,CENG,100,1;5,,,4,,,4
13,PHYS 2C,PHYS,2C,6;9,,,4,,,4
12,PHYS 2CL,PHYS,2CL,6;8,,,2,,,4
16,MATH 18,MATH,18,,,,4,,,5
17,CENG 102,CENG,102,9;14;11,,,4,,,5
36,ADV CHEM 1,,,,,,4,,,5
18,MATH 20E,MATH,20E,16;9,,,4,,,6
19,CENG 113,CENG,113,14;15;4,,,4,,,6
37,ADV CHEM 2,,,,,,4,,,6
20,CENG 170,CENG,170,14;17,,,4,,,7
21,CENG 101A,CENG,101A,6;15;18,,,4,,,7
38,ADV CHEM 3,,,,,,4,,,7
22,CENG 114,CENG,114,16;4,,,4,,,8
23,CENG 101B,CENG,101B,21,,,4,,,8
39,AS / TE 1,,,,,,4,,,9
24,CENG 101C,CENG,101C,21,,,4,,,9
40,AS / TE 2,,,,,,4,,,10
25,CENG 120,CENG,120,15;14;4;23;19,,,4,,,10
26,CENG 122,CENG,122,14;17;24,,,4,,,10
41,AS / TE 3,,,,,,4,,,11
27,CENG 124A,CENG,124A,19;26,,,4,,,11
28,CENG 176A,CENG,176A,26;19;20,,,4,,,11
29,CENG 176B,CENG,176B,28,,,4,,,12
30,CENG 124B,CENG,124B,27,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
31,HUM 1,HUM,1,,,,6,,,2
32,HUM 2,HUM,2,,,,6,,,3
33,HUM 3,HUM,3,31,,,4,,,4
34,HUM 4,HUM,4,,,,4,,,5
35,HUM 5,HUM,5,,,,4,,,6
42,LANGUAGE 1,,,,,,5,,,7
43,DEI / SOCIAL SCIENCE GE,,,,,,4,,,8
44,LANGUAGE 2,,,,,,5,,,8
45,BIOLOGY GE,,,,,,4,,,9
46,LANGUAGE 3,,,,,,5,,,9
47,LANGUAGE 4,,,,,,5,,,10
48,CCER / SOCIAL SCIENCE GE,,,,,,4,,,11
49,FINE ARTS GE,,,,,,2,,,12
50,AHI,,,,,,4,,,12
