Curriculum,Education Sciences,,,,,,,,,
Degree Plan,Education Sciences/ Seventh,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,13.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
7,EDS LD,,,,,,2,,,4
8,EDS UD - DIVERSE SOCIETY (DEI),,,,,,4,,,7
9,EDS UD - LEARNING DEV 1,,,,,,4,,,7
1,EDS 103,EDS,103,,,,4,,,8
10,EDS UD - LEARNING DEV 2,,,,,,4,,,8
2,EDS 102,EDS,102,,,,4,,,9
11,EDS UD ELECTIVE 1,,,,,,4,,,9
12,EDS UD: INTRO TO LEARNING CONTEXTS,,,,,,4,,,10
3,EDS 139 1,EDS,139,,,,2,,,10
13,EDS UD ELECTIVE 2,,,,,,4,,,10
14,EDS CAPSTONE 1,,,,,,4,,,11
15,EDS 139 2,EDS,139,,,,2,,,11
16,EDS UD ELECTIVE 3,,,,,,4,,,11
17,EDS CAPSTONE 2,,,,,,4,,,12
18,EDS 139 3,EDS,139,,,,2,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
19,ALTERNATIVE 1,,,,,,4,,,1
20,ALTERNATIVE 2,,,,,,4,,,1
21,ELECTIVE 1,,,,,,4,,,1
22,ELECTIVE 2,,,,,,4,,,1
23,ALTERNATIVE 3,,,,,,4,,,2
24,ALTERNATIVE 4,,,,,,4,,,2
25,ELECTIVE 3,,,,,,4,,,2
26,ELECTIVE 4,,,,,,4,,,2
27,ALTERNATIVE 5,,,,,,4,,,3
4,SYN 1 (CCER),SYN,1,,,,4,,,3
28,ALTERNATIVE 6,,,,,,4,,,3
29,ELECTIVE 5,,,,,,4,,,3
30,ALTERNATIVE 7,,,,,,4,,,4
31,ELECTIVE 6,,,,,,4,,,4
5,SYN 2,SYN,2,4,,,4,,,4
32,ALTERNATIVE 8,,,,,,4,,,5
33,ELECTIVE 7,,,,,,4,,,5
34,ELECTIVE 8,,,,,,4,,,5
35,ELECTIVE 9,,,,,,4,,,5
36,ALTERNATIVE 9,,,,,,4,,,6
37,ELECTIVE 10,,,,,,4,,,6
38,ELECTIVE 11,,,,,,4,,,6
39,ELECTIVE 12,,,,,,4,,,6
6,SYN 100,SYN,100,4;5,,,4,,,7
40,ELECTIVE 13,,,,,,4,,,7
41,ELECTIVE 14,,,,,,4,,,8
42,ELECTIVE 15,,,,,,4,,,8
43,ELECTIVE 16,,,,,,4,,,9
44,ELECTIVE 17,,,,,,4,,,10
45,UD ELECTIVE 1,,,,,,4,,,11
46,UD ELECTIVE 2,,,,,,4,,,12
47,ELECTIVE 18,,,,,,4,,,12
