Curriculum,Global Health,,,,,,,,,
Degree Plan,Global Health/ ERC,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,51.2210,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 10A / 20A,MATH,10A,,,,4,,,1
2,CHEM 6A,CHEM,6A,,,,4,,,1
3,MATH 10B / 20B,MATH,10B,1,,,4,,,2
4,CHEM 6B,CHEM,6B,2;1,,,4,,,2
5,CHEM 6C,CHEM,6C,4,,,4,,,3
6,CHEM 7L,CHEM,7L,4,,,4,,,3
7,BILD 1,BILD,1,,,,4,,,4
16,GH INTRO 1,,,,,,4,,,4
8,BILD 2,BILD,2,7,,,4,,,5
17,GH INTRO 2,,,,,,4,,,5
9,BILD 3,BILD,3,,,,4,,,6
10,PSYC 60 / MATH 11,PSYC,60,,,,4,,,6
18,UD GH CORE 1,,,,,,4,,,7
19,UD GH POLICY ANALYSIS,,,,,,4,,,7
20,UD GH CORE 2,,,,,,4,,,8
21,UD GH ELECTIVE 1,,,,,,4,,,8
22,UD GH CORE 3,,,,,,4,,,9
23,UD GH ELECTIVE 2,,,,,,4,,,9
24,UD GH ELECTIVE 3,,,,,,4,,,10
25,UD GH ELECTIVE 4,,,,,,4,,,10
26,UD GH ELECTIVE 5,,,,,,4,,,11
27,UD GH ELECTIVE 6,,,,,,4,,,11
28,UD GH ELECTIVE 7,,,,,,4,,,12
29,UD GH ELECTIVE 8,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
11,MMW 11,MMW,11,,,,4,,,1
30,GE 1,,,,,,4,,,1
12,MMW 12,MMW,12,,,,6,,,2
13,MMW 13,MMW,13,12,,,6,,,3
14,MMW 14 / GE 1,MMW,14,12;13,,,4,,,4
31,GE 2,,,,,,4,,,4
32,MMW 14 / GE 2,MMW,14,12;13,,,4,,,5
33,GE 3,,,,,,4,,,5
15,MMW 15,MMW,15,12;13,,,4,,,6
34,GE 4,,,,,,4,,,6
35,DEI,,,,,,4,,,7
36,GE 5,,,,,,4,,,7
37,ELECTIVE 1,,,,,,4,,,8
38,GE 6,,,,,,4,,,8
39,ELECTIVE 2,,,,,,4,,,9
40,GE 7,,,,,,4,,,9
41,UD ELECTIVE 1,,,,,,4,,,10
42,ELECTIVE 3,,,,,,4,,,10
43,UD ELECTIVE 2,,,,,,4,,,11
44,UD ELECTIVE 3,,,,,,4,,,12
