Curriculum,Human Developmental Sciences,,,,,,,,,
Degree Plan,Human Developmental Sciences/ Eighth,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,19.0701,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
10,LD MAJOR PREP 1,,,,,,4,,,1
11,LD MAJOR PREP 2,,,,,,4,,,1
12,LD MAJOR PREP 3,,,,,,4,,,2
13,LD MAJOR PREP 4,,,,,,4,,,2
14,LD MAJOR PREP 5,,,,,,4,,,3
1,HDS 1,HDS,1,,,,4,,,4
15,HDS CORE COURSE 1,,,,,,4,,,5
16,HDS CORE COURSE 2,,,,,,4,,,5
17,HDS CORE COURSE 3,,,,,,4,,,6
18,HDS CORE COURSE 4,,,,,,4,,,6
19,HDS DEVELOPMENT COURSE 1,,,,,,4,,,7
2,HDS 60,HDS,60,,,,4,,,7
20,HDS DEVELOPMENT COURSE 2,,,,,,4,,,8
21,HDS DEVELOPMENT COURSE 3,,,,,,4,,,8
22,HDS DEVELOPMENT COURSE 4,,,,,,4,,,9
3,HDS 181,HDS,181,1;2,,,6,,,9
4,HDS 191,HDS,191,1;3,,,6,,,10
23,HDS DEVELOPMENT COURSE 5,,,,,,4,,,11
5,HDS 150,HDS,150,3,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
24,DEI,,,,,,4,,,1
6,CCE 1,CCE,1,,,,4,,,2
25,BREADTH GE 1,,,,,,4,,,2
26,BREADTH GE 2,,,,,,4,,,3
27,BREADTH GE 3,,,,,,4,,,3
28,ELECTIVE 1,,,,,,2,,,3
7,CCE 2,CCE,2,6,,,4,,,4
29,BREADTH GE 4,,,,,,4,,,4
30,JTCCER,,,,,,4,,,4
31,BREADTH GE 5,,,,,,4,,,5
32,BREADTH GE 6,,,,,,4,,,5
8,CCE 3,CCE,3,7,,,4,,,6
33,ELECTIVE 2,,,,,,4,,,6
34,BREADTH GE 7,,,,,,4,,,7
35,ELECTIVE 3,,,,,,2,,,7
36,BREADTH GE 8,,,,,,4,,,8
37,ELECTIVE 4,,,,,,4,,,8
9,CCE 120,CCE,120,8,,,4,,,9
38,UD ELECTIVE,,,,,,4,,,10
39,ELECTIVE 5,,,,,,4,,,10
40,ELECTIVE 6,,,,,,4,,,10
41,ELECTIVE 7,,,,,,4,,,11
42,ELECTIVE 8,,,,,,4,,,11
43,ELECTIVE 9,,,,,,4,,,11
44,ELECTIVE 10,,,,,,4,,,12
45,ELECTIVE 11,,,,,,4,,,12
