Curriculum,International Studies-Anthropology,,,,,,,,,
Degree Plan,International Studies-Anthropology/ Revelle,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,30.2001,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
9,LANGUAGE 1,,,,,,5,,,1
10,LANGUAGE 2,,,,,,5,,,2
11,LANGUAGE 3,,,,,,5,,,3
12,LANGUAGE 4,,,,,,5,,,4
1,INTL100,INTL,100,4,,,4,,,5
2,INTL 101 / 102 1,INTL,101,1,,,4,,,6
13,EAP / OAP (RECOMMENDED),,,,,,16,,,7
14,INTL 101 / 102 2,INTL,101,1,,,4,,,8
15,DF2 - ANTHROPOLOGY,,,,,,4,,,8
16,DF1 - ANTHROPOLOGY,,,,,,4,,,8
17,IE2 - INTERDISC ELECTIVE,,,,,,4,,,9
18,DF3 - ANTHROPOLOGY (RR2),,,,,,4,,,9
19,IE1 - INTERDISC ELECTIVE (RR1),,,,,,4,,,9
20,DF5 - ANTHROPOLOGY (RR3),,,,,,4,,,10
21,DF4 - ANTHROPOLOGY,,,,,,4,,,10
22,IE3 - INTERDISC ELECTIVE,,,,,,4,,,11
23,DF6 - ANTHROPOLOGY,,,,,,4,,,11
24,DF8 - ANTHROPOLOGY,,,,,,4,,,12
25,DF7 - ANTHROPOLOGY,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
26,FINE ARTS GE,,,,,,4,,,1
3,MATH 10A / 20A,MATH,10A,,,,4,,,1
4,HUM 1,HUM,1,,,,6,,,2
27,MATH GE 1,,,,,,4,,,2
5,HUM 2,HUM,2,,,,6,,,3
28,MATH GE 2,,,,,,4,,,3
6,HUM 3,HUM,3,4,,,4,,,4
29,BIOLOGY GE,,,,,,4,,,4
7,HUM 4,HUM,4,,,,4,,,5
30,SOCIAL SCIENCE GE / DEI,,,,,,4,,,5
31,CHEMISTRY GE,,,,,,4,,,5
8,HUM 5,HUM,5,,,,4,,,6
32,SOCIAL SCIENCE GE,,,,,,4,,,6
33,PHYSICS GE,,,,,,4,,,6
34,ELECTIVE 1,,,,,,4,,,9
35,NATURAL SCIENCE GE / CCER,,,,,,4,,,10
36,ELECTIVE 2,,,,,,4,,,10
37,NATURAL SCIENCE GE,,,,,,4,,,11
38,ELECTIVE 3,,,,,,4,,,11
39,UD ELECTIVE,,,,,,4,,,12
40,AHI / ELECTIVE,,,,,,4,,,12
