Curriculum,Language Studies,,,,,,,,,
Degree Plan,Language Studies/ ERC,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,16.0102,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
7,LANGUAGE REQUIREMENT 1,,,,,,5,,,1
1,LIGN 101,LIGN,101,,,,4,,,2
8,LANGUAGE REQUIREMENT 2,,,,,,5,,,2
9,LANGUAGE REQUIREMENT 3,,,,,,5,,,3
10,LIGN CORE COURSE 1,,,,,,4,,,4
11,LANGUAGE REQUIREMENT 4,,,,,,5,,,4
12,LIGN CORE COURSE 2,,,,,,4,,,5
13,LANGUAGE REQUIREMENT 5,,,,,,4,,,5
14,LIGN CORE COURSE 3,,,,,,4,,,6
15,LANGUAGE REQUIREMENT 6,,,,,,4,,,6
16,UD LIT ELECTIVE 1,,,,,,4,,,7
17,"LIGN ""STRUCTURE OF""",,,,,,4,,,7
18,UD LIT ELECTIVE 2,,,,,,4,,,8
19,"UD LIGN, LIT, / AREA STUDIES 1",,,,,,4,,,8
20,UD LIGN ELECTIVE,,,,,,4,,,9
21,"UD LIGN, LIT, / AREA STUDIES 2",,,,,,4,,,10
22,"UD LIGN, LIT, / AREA STUDIES 3",,,,,,4,,,11
23,"UD LIGN, LIT, / AREA STUDIES 4",,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
2,MMW 11,MMW,11,,,,4,,,1
24,GE 1,,,,,,4,,,1
25,GE 2,,,,,,4,,,1
3,MMW 12,MMW,12,,,,6,,,2
4,MMW 13,MMW,13,3,,,6,,,3
26,GE 3,,,,,,4,,,3
5,MMW 14 / GE 1,MMW,14,3;4,,,4,,,4
27,GE 4,,,,,,4,,,4
28,MMW 14 / GE 2,MMW,14,3;4,,,4,,,5
29,GE 5,,,,,,4,,,5
6,MMW 15,MMW,15,3;4,,,4,,,6
30,GE 6,,,,,,4,,,6
31,GE 7,,,,,,4,,,7
32,ELECTIVE 1,,,,,,4,,,7
33,DEI,,,,,,4,,,8
34,UD ELECTIVE,,,,,,4,,,8
35,ELECTIVE 2,,,,,,4,,,9
36,ELECTIVE 3,,,,,,4,,,9
37,ELECTIVE 4,,,,,,4,,,9
38,ELECTIVE 5,,,,,,4,,,10
39,ELECTIVE 6,,,,,,4,,,10
40,ELECTIVE 7,,,,,,4,,,11
41,ELECTIVE 8,,,,,,4,,,11
42,ELECTIVE 9,,,,,,4,,,12
43,ELECTIVE 10,,,,,,4,,,12
