Curriculum,Spanish Literature,,,,,,,,,
Degree Plan,Spanish Literature/ Warren,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,16.0905,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,LISP 1A,LISP,1A,,,,2.5,,,1
2,LISP 1AX,LISP,1AX,,,,2.5,,,1
3,LISP 1B,LISP,1B,1;2,,,2.5,,,2
4,LISP 1BX,LISP,1BX,1;2,,,2.5,,,2
5,LISP 1C,LISP,1C,3;4,,,2.5,,,3
6,LISP 1CX,LISP,1CX,3;4,,,2.5,,,3
15,LD LTEN,,,,,,4,,,4
7,LTSP 2A,LTSP,2A,5;6,,,5,,,4
8,LTSP 2B,LTSP,2B,7,,,5,,,5
16,GE / CCER,,,,,,4,,,5
9,LTSP 2C,LTSP,2C,8,,,4,,,6
17,GE / DEI,,,,,,4,,,6
18,UD LITERATURE ELECTIVE 1,,,,,,4,,,7
10,LTSP 100A / 100F,LTSP,100A,9,,,4,,,7
19,UD LTSP 1,,,,,,4,,,8
20,UD LTSP - PRE - 1900,,,,,,4,,,8
21,UD LTSP 2,,,,,,4,,,9
22,UD LTSP 3,,,,,,4,,,9
23,UD LTSP 4,,,,,,4,,,10
24,UD LTSP 5,,,,,,4,,,10
25,UD LITERATURE ELECTIVE 2,,,,,,4,,,11
26,UD LTSP 6,,,,,,4,,,11
27,UD LTSP 7,,,,,,4,,,12
28,UD LITERATURE ELECTIVE 3,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
11,WCWP 10A,WCWP,10A,,,,4,,,1
29,ELECTIVE 1,,,,,,4,,,1
30,GE 1,,,,,,4,,,1
12,WCWP 10B,WCWP,10B,11,,,4,,,2
31,ELECTIVE 2,,,,,,4,,,2
32,GE 2,,,,,,4,,,2
13,PHIL / POLI 27,POLI,27,11;12,,,4,,,3
33,ELECTIVE 3,,,,,,3,,,3
34,GE 3,,,,,,4,,,3
14,PHIL / POLI 28,POLI,28,13,,,4,,,4
35,GE 4,,,,,,4,,,4
36,ELECTIVE 4,,,,,,4,,,5
37,GE 5,,,,,,4,,,5
38,ELECTIVE 5,,,,,,4,,,6
39,GE 6,,,,,,4,,,6
40,ELECTIVE 6,,,,,,4,,,7
41,GE 7,,,,,,4,,,7
42,UD LTSP 8,,,,,,4,,,8
43,GE 8,,,,,,4,,,8
44,GE 9,,,,,,4,,,9
45,GE 10,,,,,,4,,,10
46,GE 11,,,,,,4,,,11
47,GE 12,,,,,,4,,,12
