Curriculum,Political Science/American Politics,,,,,,,,,
Degree Plan,Political Science/American Politics/ Revelle,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,45.1099,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,POLI 10D (SOCIAL SCI GE),POLI,10D,,,,4,,,1
9,LD POLI (SOCIAL SCI GE),,,,,,4,,,2
10,LD POLI,,,,,,4,,,3
2,POLI 30D,POLI,30D,,,,4,,,3
11,UD POLI 1,,,,,,4,,,6
12,UD POLI - AMERICAN POLITICS 1,,,,,,4,,,7
13,UD POLI 2,,,,,,4,,,7
14,UD POLI - AMERICAN POLITICS 2,,,,,,4,,,8
15,UD POLI 3,,,,,,4,,,8
16,UD POLI - AMERICAN POLITICS 3,,,,,,4,,,9
17,UD POLI 4,,,,,,4,,,9
18,UD POLI - AMERICAN POLITICS 4,,,,,,4,,,10
19,UD POLI 5,,,,,,4,,,10
20,UD POLI - AMERICAN POLITICS 5,,,,,,4,,,11
21,UD POLI 6,,,,,,4,,,11
22,UD POLI 7,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
23,FINE ARTS GE,,,,,,4,,,1
3,MATH 10A / 20A,MATH,10A,,,,4,,,1
4,HUM 1,HUM,1,,,,6,,,2
24,MATH GE 1,,,,,,4,,,2
5,HUM 2,HUM,2,,,,6,,,3
25,MATH GE 2,,,,,,4,,,3
6,HUM 3,HUM,3,4,,,4,,,4
26,PHYSICS GE,,,,,,4,,,4
27,LANGUAGE 1,,,,,,5,,,4
7,HUM 4,HUM,4,,,,4,,,5
28,CHEMISTRY GE,,,,,,4,,,5
29,LANGUAGE 2,,,,,,5,,,5
8,HUM 5,HUM,5,,,,4,,,6
30,BIOLOGY GE,,,,,,4,,,6
31,LANGUAGE 3,,,,,,5,,,6
32,LANGUAGE 4,,,,,,5,,,7
33,ELECTIVE 1,,,,,,4,,,7
34,CCER / NATURAL SCIENCE GE,,,,,,4,,,8
35,NATURAL SCIENCE GE,,,,,,4,,,9
36,ELECTIVE 2,,,,,,4,,,9
37,UD ELECTIVE 1,,,,,,4,,,10
38,ELECTIVE 3,,,,,,4,,,10
39,UD ELECTIVE 2,,,,,,4,,,11
40,ELECTIVE 4,,,,,,4,,,11
41,UD ELECTIVE 3,,,,,,4,,,12
42,ELECTIVE 5,,,,,,4,,,12
43,DEI / AHI,,,,,,4,,,12
