Curriculum,Political Science/International Relations,,,,,,,,,
Degree Plan,Political Science/International Relations/ Seventh,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,45.1099,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,POLI 12D,POLI,12D,,,,4,,,1
8,LD POLI 1,,,,,,4,,,2
3,POLI 30D,POLI,30D,,,,4,,,3
9,LD POLI 2,,,,,,4,,,3
10,UD POLI 1,,,,,,4,,,4
11,UD POLI 2,,,,,,4,,,5
12,UD POLI 3,,,,,,4,,,6
13,UD POLI - INTERNATIONAL RELATIONS 1,,,,,,4,,,7
14,UD POLI 4,,,,,,4,,,7
15,UD POLI - INTERNATIONAL RELATIONS 2,,,,,,4,,,8
16,UD POLI 5,,,,,,4,,,9
17,UD POLI - INTERNATIONAL RELATIONS 3,,,,,,4,,,10
18,UD POLI 6,,,,,,4,,,10
19,UD POLI - INTERNATIONAL RELATIONS 4,,,,,,4,,,11
20,UD POLI 7,,,,,,4,,,11
21,UD POLI - INTERNATIONAL RELATIONS 5,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
22,DEI,,,,,,4,,,1
23,ALTERNATIVE 1,,,,,,4,,,1
24,ELECTIVE 1,,,,,,4,,,1
25,ALTERNATIVE 2,,,,,,4,,,2
26,ALTERNATIVE 3,,,,,,4,,,2
27,ELECTIVE 2,,,,,,4,,,2
5,SYN 1 (CCER),SYN,1,,,,4,,,3
28,ELECTIVE 3,,,,,,4,,,3
6,SYN 2,SYN,2,5,,,4,,,4
29,ALTERNATIVE 4,,,,,,4,,,4
30,ELECTIVE 4,,,,,,4,,,4
31,ALTERNATIVE 5,,,,,,4,,,5
32,ALTERNATIVE 6,,,,,,4,,,5
33,ELECTIVE 5,,,,,,4,,,5
34,ALTERNATIVE 7,,,,,,4,,,6
35,ALTERNATIVE 8,,,,,,4,,,6
36,ELECTIVE 6,,,,,,4,,,6
7,SYN 100,SYN,100,5;6,,,4,,,7
37,ELECTIVE 7,,,,,,4,,,7
38,UD ELECTIVE,,,,,,4,,,8
39,ELECTIVE 8,,,,,,4,,,8
40,ELECTIVE 9,,,,,,4,,,8
41,ELECTIVE 10,,,,,,4,,,9
42,ELECTIVE 11,,,,,,4,,,9
43,ELECTIVE 12,,,,,,4,,,9
44,HIGH - IMPACT,,,,,,4,,,10
45,ELECTIVE 13,,,,,,4,,,11
46,ELECTIVE 14,,,,,,4,,,12
47,ELECTIVE 15,,,,,,4,,,12
