Curriculum,Physics with Specialization in Earth Science,,,,,,,,,
Degree Plan,Physics with Specialization in Earth Science/ Revelle,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,40.0899,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A (MATH GE),MATH,20A,,,,4,,,1
2,MATH 18 (MATH GE),MATH,18,,,,4,,,1
4,MATH 20B (MATH GE),MATH,20B,1,,,4,,,2
3,PHYS 4A (PHYS GE),PHYS,4A,1,,,4,,,2
27,PROGRAMMING,,,,,,4,,,2
5,MATH 20C,MATH,20C,4,,,4,,,3
6,PHYS 4B (NAT SCI GE),PHYS,4B,3;1;4,,,4,,,3
7,PHYS 4C (NAT SCI GE),PHYS,4C,3;3;3;6;6;6;1;4;5;2,,,4,,,4
8,MATH 20E,MATH,20E,2;5,,,4,,,4
11,PHYS 4D,PHYS,4D,3;3;3;6;6;6;7;5;8;2;1;4,,,4,,,5
10,MATH 20D,MATH,20D,5,,,4,,,5
9,PHYS 2CL,PHYS,2CL,3;7,,,2,,,5
12,PHYS 4E,PHYS,4E,3;6;6;6;7;11;5;10;8;2;1;4,,,4,,,6
28,PHYS LD BREADTH,,,,,,6,,,6
13,PHYS 110A,PHYS,110A,3;6;7;11;1;4;5;10;8;2,,,4,,,7
14,PHYS 100A,PHYS,100A,3;6;7;11;1;4;5;10;8;2,,,4,,,7
15,PHYS 2DL,PHYS,2DL,9,,,2,,,7
16,PHYS 105A,PHYS,105A,6;7;11;12;1;4;5;10;8;2,,,4,,,8
17,PHYS 100B,PHYS,100B,14;1;4;5;10;8;2,,,4,,,8
18,PHYS 130A,PHYS,130A,3;6;7;11;12;14;13,,,4,,,9
19,PHYS 120,PHYS,120,3;6;7;9,,,5,,,9
20,PHYS 140A,PHYS,140A,18,,,4,,,10
29,PHYS UD RE 1,,,,,,4,,,10
21,PHYS 130B,PHYS,130B,18;17,,,4,,,10
30,PHYS UD DEPTH 1,,,,,,4,,,11
31,PHYS UD RE 2,,,,,,4,,,11
32,PHYS UD LAB,,,,,,4,,,11
33,PHYS UD RE 3,,,,,,4,,,12
34,PHYS UD DEPTH 2,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
35,DEI / SOCIAL SCIENCE GE,,,,,,4,,,1
22,HUM 1,HUM,1,,,,6,,,2
23,HUM 2,HUM,2,,,,6,,,3
36,BIOLOGY GE,,,,,,4,,,4
24,HUM 3,HUM,3,22,,,4,,,4
25,HUM 4,HUM,4,,,,4,,,5
37,CHEMISTRY GE,,,,,,4,,,6
26,HUM 5,HUM,5,,,,4,,,6
38,LANGUAGE 1,,,,,,5,,,7
39,LANGUAGE 2,,,,,,5,,,8
40,FINE ARTS GE,,,,,,2,,,9
41,LANGUAGE 3,,,,,,5,,,9
42,LANGUAGE 4,,,,,,5,,,10
43,CCER / SOCIAL SCIENCE GE,,,,,,4,,,12
44,UD AHI / UD ELECTIVE,,,,,,4,,,12
