Curriculum,Study of Religion,,,,,,,,,
Degree Plan,Study of Religion/ Revelle,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,38.0201,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
11,UD ARTS & HUMANITIES (MAJOR) 1,,,,,,4,,,7
12,UD SOCIAL SCIENCE (MAJOR),,,,,,4,,,7
13,UD SOCIAL SCIENCES (MAJOR),,,,,,4,,,8
1,RELI 101,RELI,101,,,,4,,,8
14,UD ELECTIVE - SINGLE TRADITION (MAJOR) 1,,,,,,4,,,9
2,RELI 189,RELI,189,,,,4,,,9
15,UD ARTS & HUMANITIES (MAJOR) 2,,,,,,4,,,10
16,UD ELECTIVE - SINGLE TRADITION (MAJOR) 2,,,,,,4,,,10
17,UD ELECTIVE (MAJOR) 1,,,,,,4,,,11
18,UD ELECTIVE (MAJOR) 2,,,,,,4,,,11
19,UD ELECTIVE (MAJOR) 3,,,,,,4,,,12
20,UD ELECTIVE (MAJOR) 4,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
21,SOCIAL SCIENCE GE / DEI,,,,,,4,,,1
3,MATH 10A / 20A,MATH,10A,,,,4,,,1
4,ELECTIVE (RELI 1),RELI,1,,,,4,,,1
5,HUM 1,HUM,1,,,,6,,,2
22,MATH GE 1,,,,,,4,,,2
6,ELECTIVE (RELI 2),RELI,2,,,,4,,,2
7,HUM 2,HUM,2,,,,6,,,3
23,MATH GE 2,,,,,,4,,,3
24,BIOLOGY GE,,,,,,4,,,3
8,HUM 3,HUM,3,5,,,4,,,4
25,NATURAL SCIENCE GE,,,,,,4,,,4
26,FINE ARTS GE,,,,,,4,,,4
27,LANGUAGE 1,,,,,,5,,,4
9,HUM 4,HUM,4,,,,4,,,5
28,CHEMISTRY GE,,,,,,4,,,5
29,SOCIAL SCIENCE GE,,,,,,4,,,5
30,LANGUAGE 2,,,,,,5,,,5
10,HUM 5,HUM,5,,,,4,,,6
31,NATURAL SCIENCE GE / CCER,,,,,,4,,,6
32,ELECTIVE 1,,,,,,4,,,6
33,LANGUAGE 3,,,,,,5,,,6
34,PHYSICS GE,,,,,,4,,,7
35,LANGUAGE 4,,,,,,5,,,7
36,ELECTIVE 2,,,,,,4,,,8
37,ELECTIVE 3,,,,,,4,,,8
38,ELECTIVE 4,,,,,,4,,,9
39,ELECTIVE 5,,,,,,4,,,9
40,UD ELECTIVE 1,,,,,,4,,,10
41,AHI / ELECTIVE,,,,,,4,,,10
42,UD ELECTIVE 2,,,,,,4,,,11
43,UD ELECTIVE 3,,,,,,4,,,12
