Curriculum,Structural Engineering with a Specialization in Structural Health Monitoring/Non-Destructive Evaluation,,,,,,,,,
Degree Plan,Structural Engineering with a Specialization in Structural Health Monitoring/Non-Destructive Evaluation/ Eighth,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,14.0803,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,SE 1,SE,1,,,,4,,,1
2,CHEM 6A,CHEM,6A,,,,4,,,1
3,MATH 20A,MATH,20A,,,,4,,,1
38,DEI,,,,,,4,,,1
4,MATH 20B,MATH,20B,3,,,4,,,2
5,PHYS 2A,PHYS,2A,3;3,,,4,,,2
34,CCE 1,CCE,1,,,,4,,,2
39,BREADTH GE 1,,,,,,4,,,2
8,MATH 20C,MATH,20C,4,,,4,,,3
9,SE 3,SE,3,1,,,4,,,3
10,PHYS 2B,PHYS,2B,5;4,,,4,,,3
7,PHYS 2BL,PHYS,2BL,5,,,2,,,3
6,MATH 18,MATH,18,,,,4,,,3
11,MATH 20D,MATH,20D,8;6,,,4,,,4
12,SE 101A,SE,101A,5;8,,,4,,,4
13,PHYS 2C,PHYS,2C,5;8,,,4,,,4
14,PHYS 2CL,PHYS,2CL,5;10,,,2,,,4
35,CCE 2,CCE,2,34,,,4,,,4
15,SE 9,SE,9,3;4,,,4,,,5
16,SE 101B,SE,101B,12,,,4,,,5
17,SE 110A,SE,110A,12;11,,,4,,,5
19,MATH 20E,MATH,20E,6;8,,,4,,,6
20,SE 110B,SE,110B,17,,,4,,,6
18,SE 105,SE,105,1;12,,,5,,,6
21,SE 101C,SE,101C,16;6,,,4,,,7
22,SE 125,SE,125,11;6,,,4,,,7
23,SE 130A,SE,130A,17,,,4,,,7
40,BREADTH GE 2,,,,,,4,,,7
24,SE 115,SE,115,5;11,,,4,,,8
25,SE 102,SE,102,15;12,,,4,,,8
41,TECHNICAL ELECTIVE 1,,,,,,4,,,8
42,BREADTH GE 3,,,,,,4,,,8
26,SE 163,SE,163,17,,,4,,,9
27,SE 130B,SE,130B,23;6,,,4,,,9
28,SE 131A,SE,131A,19;20;9,,,4,,,9
37,CCE 120,CCE,120,36,,,4,,,9
29,SE 131B,SE,131B,28;21;27,,,4,,,10
30,SE 164,SE,164,17,,,4,,,10
43,TECHNICAL ELECTIVE 2,,,,,,4,,,10
44,BREADTH GE 4,,,,,,4,,,10
31,SE 167,SE,167,21,,,4,,,11
45,TECHNICAL ELECTIVE 3,,,,,,4,,,11
46,TECHNICAL ELECTIVE 4,,,,,,4,,,11
47,BREADTH GE 5,,,,,,4,,,11
32,SE 165,SE,165,21,,,4,,,12
33,SE 168,SE,168,21;28;31,,,4,,,12
48,BREADTH GE 6,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
49,JTCCER,,,,,,4,,,5
36,CCE 3,CCE,3,35,,,4,,,6
