Curriculum,Dance,,,,,,,,,
Degree Plan,Dance/ Revelle,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,50.0301,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,TDTR 10,TDTR,10,,,,4,,,1
2,TDDM 1,TDDM,1,,,,4,,,1
19,UD CORE MOVEMENT 1,,,,,,4,,,2
3,TDHD 20,TDHD,20,1,,,4,,,2
20,UD CORE MOVEMENT 2,,,,,,4,,,3
4,TDHD 21,TDHD,21,1,,,4,,,3
5,TDPR 6,TDPR,6,,,,4,,,4
6,TDDM 5,TDDM,5,,,,4,,,4
7,TDTR 15,TDTR,15,,,,4,,,5
8,TDDM 100,TDDM,100,2,,,4,,,5
9,TDTR 20,TDTR,20,,,,4,,,6
10,TDMV 20,TDMV,20,,,,4,,,6
21,UD CORE MOVEMENT 3,,,,,,4,,,7
11,TDTR 104,TDTR,104,,,,4,,,7
22,TDHD 1XX,,,,,,4,,,8
23,UD CORE MOVEMENT 4,,,,,,4,,,8
12,TDDM 101,TDDM,101,2,,,4,,,9
24,UD ELECTIVE MOVEMENT 1,,,,,,4,,,9
25,UD ELECTIVE MOVEMENT 2,,,,,,4,,,10
26,UD ELECTIVE MOVEMENT 3,,,,,,4,,,11
27,UD ELECTIVE MOVEMENT 4,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
13,MATH 10A,MATH,10A,,,,4,,,1
28,MATH GE 1,,,,,,4,,,2
14,HUM 1,HUM,1,,,,6,,,2
29,MATH GE 2,,,,,,4,,,3
15,HUM 2,HUM,2,,,,6,,,3
16,HUM 3,HUM,3,14,,,4,,,4
30,NATURAL SCIENCE GE / CCER,,,,,,4,,,4
17,HUM 4,HUM,4,,,,4,,,5
31,NATURAL SCIENCE GE,,,,,,4,,,5
18,HUM 5,HUM,5,,,,4,,,6
32,CHEMISTRY GE,,,,,,4,,,6
33,PHYSICS GE,,,,,,4,,,7
34,LANGUAGE 1,,,,,,5,,,7
35,LANGUAGE 2,,,,,,5,,,8
36,LANGUAGE 3,,,,,,5,,,9
37,SOCIAL SCIENCE GE,,,,,,4,,,9
38,LANGUAGE 4,,,,,,5,,,10
39,UD ELECTIVE,,,,,,4,,,10
40,UD SOCIAL SCIENCE GE,,,,,,4,,,11
41,UD ELECTIVE / (IF NEEDED) UD AHI,,,,,,4,,,11
42,DEI,,,,,,4,,,12
43,BIOLOGY GE,,,,,,4,,,12
