Curriculum,Biology with Specialization in Bioinformatics,,,,,,,,,
Degree Plan,Biology with Specialization in Bioinformatics/ Sixth,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,26.1103,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,CSE 8A,CSE,8A,,,,4,,,1
3,MATH 20A,MATH,20A,,,,4,,,1
2,BILD 4,BILD,4,,,,2,,,1
4,CHEM 6A,CHEM,6A,3,,,4,,,2
5,MATH 20B,MATH,20B,3,,,4,,,2
6,CSE 8B,CSE,8B,1,,,4,,,2
7,CHEM 6B,CHEM,6B,4;3,,,4,,,3
8,MATH 20C,MATH,20C,5,,,4,,,3
9,BILD 5,BILD,5,,,,4,,,3
10,BILD 1,BILD,1,,,,4,,,4
11,CHEM 40A,CHEM,40A,7,,,4,,,4
12,PHYS 2A,PHYS,2A,3;3,,,4,,,4
13,BILD 3,BILD,3,,,,4,,,5
14,CHEM 40B,CHEM,40B,11,,,4,,,5
15,PHYS 2B,PHYS,2B,12;5,,,4,,,5
16,PHYS 2C,PHYS,2C,12;8,,,4,,,6
17,CSE 12,CSE,12,6,,,4,,,6
18,BICD 100,BICD,100,10;13,,,4,,,6
19,CSE 20 / MATH 15A / MATH 31CH,CSE,20,1,,,4,,,6
20,CSE 21,CSE,21,19,,,4,,,7
21,BIBC 100 / 102,BIBC,100,11;14,,,4,,,7
22,CSE 29 / ECE 15 / CSE 15L,CSE,29,6,,,4,,,7
23,MATH 18,MATH,18,,,,4,,,8
24,BIMM 100,BIMM,100,10;2;11;14,,,4,,,8
25,CSE 100,CSE,100,20;17;22,,,4,,,8
26,CSE 185,CSE,185,6;17;8;10;2,,,4,,,9
27,CSE 101,CSE,101,20;17,,,4,,,9
28,BENG 183,BENG,183,24,,,4,,,10
36,UD BIOLOGY ELECTIVE 1,,,,,,4,,,10
29,BIMM 181,BIMM,181,25;27;24,,,4,,,11
30,MATH 186,MATH,186,8,,,4,,,11
37,UD BIOLOGY ELECTIVE 2,,,,,,4,,,12
31,BIMM 182,BIMM,182,25,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
32,CAT 1,CAT,1,,,,4,,,1
33,CAT 2,CAT,2,32,,,6,,,2
34,CAT 3,CAT,3,33,,,6,,,3
38,GE (DEI),,,,,,4,,,4
39,GE 1,,,,,,4,,,5
40,GE 2,,,,,,4,,,7
41,GE 3,,,,,,4,,,8
42,GE 4,,,,,,4,,,9
43,UD ELECTIVE,,,,,,4,,,9
44,GE 5,,,,,,4,,,10
35,EXPERIENTIAL LEARNING / CAT 125 1,CAT,125,,,,4,,,10
45,EXPERIENTIAL LEARNING / CAT 125 2,CAT,125,,,,4,,,11
46,JTCCER,,,,,,4,,,12
