Curriculum,Molecular and Cell Biology,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Quarter,,,,,,,,
CIP,26.0406,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,CHEM 6A,CHEM,6A,,,,4,,
2,MATH 10A / MATH 20A,MATH,10A,,,,4,,
3,BILD 4,BILD,4,,,,2,,
4,CHEM 6B,CHEM,6B,1;2,,,4,,
5,BILD 5,BILD,5,,,,4,,
6,MATH 10B / MATH 20B,MATH,10B,2,,,4,,
7,CHEM 6C,CHEM,6C,4,,,4,,
8,CHEM 7L,CHEM,7L,4,,,4,,
9,MATH 11,MATH,11,6,,,5,,
10,BILD 1,BILD,1,,,,4,,
11,PHYS 1A,PHYS,1A,2,,,3,,
12,PHYS 1AL,PHYS,1AL,2,,,2,,
13,CHEM 40A,CHEM,40A,4,,,4,,
14,BILD 3,BILD,3,,,,4,,
15,CHEM 40B,CHEM,40B,13,,,4,,
16,PHYS 1B,PHYS,1B,6;11,,,3,,
17,PHYS 1BL,PHYS,1BL,6;11;12,,,2,,
18,PHYS 1C,PHYS,1C,6;16,,,3,,
19,PHYS 1CL,PHYS,1CL,6;16;17,,,2,,
20,BICD 100,BICD,100,10;14,,,4,,
26,UD MCB CORE 1,,,,,,4,,
21,BIBC 100 / CHEM 114A,BIBC,100,13;15,,,4,,
22,BIBC 103 / BIMM 101,BIBC,103,10,,,4,,
23,BIBC 102 / CHEM 114B,BIBC,102,13;15,,,4,,
24,BIMM 100,BIMM,100,10;3;13;15,,,4,,
27,UD BIOLOGY LAB,,,,,,4,,
25,BICD 110,BICD,110,21,,,4,,
28,UD MCB CORE 2,,,,,,4,,
29,UD MCB CORE 3,,,,,,4,,
30,UD BIOLOGY ELECTIVE 1,,,,,,4,,
31,UD BIOLOGY ELECTIVE 2,,,,,,4,,
