Curriculum,Cognitive and Behavioral Neuroscience,,,,,,,,,
Degree Plan,Cognitive and Behavioral Neuroscience/ Revelle,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,30.2501,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
2,MATH 10A / 20A,MATH,10A,,,,4,,,1
1,COGS 17,COGS,17,,,,4,,,1
3,MATH 10B / 20B,MATH,10B,2,,,4,,,2
16,COGS NATURAL SCIENCE / GE 1,,,,,,4,,,2
4,MATH 10C / 20C,MATH,10C,3,,,4,,,3
17,COGS NATURAL SCIENCE / GE 2,,,,,,4,,,3
5,COGS 14A / PSYC 70,COGS,14A,,,,4,,,4
6,COGS 14B / PSYC 60,COGS,14B,5,,,4,,,5
18,COMPUTER PROGRAMMING,,,,,,4,,,6
8,COGS 101A / PSYC 102,COGS,101A,,,,4,,,7
7,COGS 107A,COGS,107A,1,,,4,,,7
9,COGS 107B / PSYC 106,COGS,107B,7,,,4,,,8
19,CBN UD COURSE 1,,,,,,4,,,8
10,COGS 107C / PSYC 108,COGS,107C,9,,,4,,,9
20,CBN UD COURSE 2,,,,,,4,,,9
21,CBN UD RESEARCH 1,,,,,,4,,,9
22,CBN UD RESEARCH 2,,,,,,4,,,10
23,CBN UD COURSE 3,,,,,,4,,,10
24,CBN UD COURSE 4,,,,,,4,,,10
25,CBN UD COURSE 5,,,,,,4,,,11
26,COGS UD ADDITIONAL ELECTIVE 1,,,,,,4,,,11
27,CBN UD COURSE 6,,,,,,4,,,12
28,COGS UD ADDITIONAL ELECTIVE 2,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
29,FINE ARTS GE,,,,,,4,,,1
11,HUM 1,HUM,1,,,,6,,,2
12,HUM 2,HUM,2,,,,6,,,3
13,HUM 3,HUM,3,11,,,4,,,4
30,SOCIAL SCIENCE GE,,,,,,4,,,4
31,LANGUAGE 1,,,,,,5,,,4
14,HUM 4,HUM,4,,,,4,,,5
32,CHEMISTRY GE,,,,,,4,,,5
33,LANGUAGE 2,,,,,,5,,,5
15,HUM 5,HUM,5,,,,4,,,6
34,PHYSICS GE,,,,,,4,,,6
35,LANGUAGE 3,,,,,,5,,,6
36,LANGUAGE 4,,,,,,5,,,7
37,JTCCER,,,,,,4,,,8
38,DEI,,,,,,4,,,9
39,ELECTIVE 1,,,,,,4,,,10
40,UD ELECTIVE,,,,,,4,,,11
41,ELECTIVE 2,,,,,,4,,,11
42,ELECTIVE 3,,,,,,4,,,12
43,ELECTIVE 4,,,,,,4,,,12
