Curriculum,Biochemistry,,,,,,,,,
Degree Plan,Biochemistry/ Revelle,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,26.0202,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 10A / 20A,MATH,10A,,,,4,,,1
2,CHEM 6A,CHEM,6A,,,,4,,,1
3,MATH 10B / 20B,MATH,10B,1,,,4,,,2
5,CHEM 6B,CHEM,6B,2;1,,,4,,,2
4,BILD 1,BILD,1,,,,4,,,2
8,MATH 10C / 20C,MATH,10C,3,,,4,,,3
6,CHEM 6C,CHEM,6C,5,,,4,,,3
7,CHEM 7LM / 7L,CHEM,7LM,5,,,4,,,3
12,CHEM 41A,CHEM,41A,5,,,4,,,4
11,MATH 11,MATH,11,3,,,5,,,4
9,PHYS 1A,PHYS,1A,1,,,3,,,4
10,PHYS 1AL,PHYS,1AL,1,,,2,,,4
16,CHEM 41B,CHEM,41B,12,,,4,,,5
15,BILD 2,BILD,2,4,,,4,,,5
13,PHYS 1B,PHYS,1B,3;9,,,3,,,5
14,PHYS 1BL,PHYS,1BL,3;9;10,,,2,,,5
20,CHEM 41C,CHEM,41C,16,,,4,,,6
17,CHEM 43A,CHEM,43A,7;12,,,4,,,6
19,PHYS 1C,PHYS,1C,3;13,,,3,,,6
18,PHYS 1CL,PHYS,1CL,3;13;14,,,2,,,6
21,CHEM 100A,CHEM,100A,6;7,,,4,,,7
22,CHEM 114A,CHEM,114A,12,,,4,,,7
23,CHEM 114B,CHEM,114B,16;22,,,4,,,8
33,UD BIOCHEM RESTRICTED ELECTIVE 1,,,,,,4,,,8
24,CHEM 108 / 109 1,CHEM,108,17;22,,,6,,,9
25,CHEM 114C,CHEM,114C,22,,,4,,,9
26,CHEM 126A,CHEM,126A,6;19;8,,,4,,,10
34,UD BIOCHEM RESTRICTED ELECTIVE 2,,,,,,4,,,10
35,CHEM 108 / 109 2,CHEM,108,17;22,,,6,,,11
27,CHEM 126B,CHEM,126B,26,,,4,,,11
36,UD CHEM ADDITIONAL ELECTIVE,,,,,,4,,,12
37,UD BIOCHEM RESTRICTED ELECTIVE 3,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
38,SOCIAL SCIENCE GE / DEI,,,,,,4,,,1
39,FINE ARTS GE,,,,,,2,,,1
28,HUM 1,HUM,1,,,,6,,,2
29,HUM 2,HUM,2,,,,6,,,3
30,HUM 3,HUM,3,28,,,4,,,4
31,HUM 4,HUM,4,,,,4,,,5
32,HUM 5,HUM,5,,,,4,,,6
40,LANGUAGE 1,,,,,,5,,,7
41,LANGUAGE 2,,,,,,5,,,8
42,LANGUAGE 3,,,,,,5,,,9
43,LANGUAGE 4,,,,,,5,,,10
44,UD SOCIAL SCIENCE GE / UD JTCCER,,,,,,4,,,11
45,UD ELECTIVE,,,,,,4,,,12
