Curriculum,Classical Studies,,,,,,,,,
Degree Plan,Classical Studies/ Sixth,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,16.1200,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
5,LD MAJOR COURSE 1,,,,,,4,,,1
6,LD MAJOR COURSE 2,,,,,,4,,,2
7,LD MAJOR COURSE (LANGUAGE TRACK ONLY) 1,,,,,,4,,,2
8,LD MAJOR COURSE (LANGUAGE TRACK ONLY) 2,,,,,,4,,,3
9,LD MAJOR COURSE 3,,,,,,4,,,3
10,LD MAJOR COURSE (LANGUAGE TRACK ONLY) 3,,,,,,4,,,4
11,UD MAJOR COURSE 1,,,,,,4,,,4
12,UD MAJOR COURSE 2,,,,,,4,,,5
13,LD MAJOR COURSE (LANGUAGE TRACK ONLY) 4,,,,,,4,,,5
14,UD MAJOR COURSE 3,,,,,,4,,,6
15,LD MAJOR COURSE (LANGUAGE TRACK ONLY) 5,,,,,,4,,,6
16,UD MAJOR COURSE 4,,,,,,4,,,7
17,UD MAJOR COURSE 5,,,,,,4,,,7
18,UD MAJOR COURSE 6,,,,,,4,,,8
19,UD MAJOR COURSE 7,,,,,,4,,,8
20,UD MAJOR COURSE 8,,,,,,4,,,9
21,UD MAJOR COURSE 9,,,,,,4,,,9
22,UD MAJOR COURSE 10,,,,,,4,,,10
23,UD MAJOR COURSE 11,,,,,,4,,,11
24,UD MAJOR COURSE 12,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,CAT 1,CAT,1,,,,4,,,1
25,GE 1,,,,,,4,,,1
26,GE 2,,,,,,4,,,1
2,CAT 2,CAT,2,1,,,6,,,2
3,CAT 3,CAT,3,2,,,6,,,3
27,GE (DEI),,,,,,4,,,4
28,GE 3,,,,,,4,,,4
29,JTCCER,,,,,,4,,,5
30,GE 4,,,,,,4,,,5
31,GE 5,,,,,,4,,,6
32,GE 6,,,,,,4,,,6
33,GE 7,,,,,,4,,,7
34,ELECTIVE 1,,,,,,4,,,7
35,UD ELECTIVE,,,,,,4,,,8
36,ELECTIVE 2,,,,,,4,,,8
37,GE 8,,,,,,4,,,9
38,ELECTIVE 3,,,,,,4,,,9
4,CAT 125 / EXPERIENTIAL LEARNING 1,CAT,125,,,,4,,,10
39,ELECTIVE 4,,,,,,4,,,10
40,ELECTIVE 5,,,,,,4,,,10
41,CAT 125 / EXPERIENTIAL LEARNING 2,CAT,125,,,,4,,,11
42,ELECTIVE 6,,,,,,4,,,11
43,ELECTIVE 7,,,,,,4,,,12
44,ELECTIVE 8,,,,,,4,,,12
