Curriculum,Data Science,,,,,,,,,
Degree Plan,Data Science/ Revelle,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,11.0103,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
3,DSC 10,DSC,10,,,,4,,,1
2,COGS 9,COGS,9,,,,4,,,1
5,MATH 20B,MATH,20B,1,,,4,,,2
4,DSC 20,DSC,20,3,,,4,,,2
8,MATH 20C,MATH,20C,5,,,4,,,3
6,DSC 30,DSC,30,4,,,4,,,3
7,MATH 18,MATH,18,,,,4,,,3
9,DSC 40A,DSC,40A,3;8;7,,,4,,,4
27,SUBJECT DOMAIN 1,,,,,,4,,,4
10,DSC 40B,DSC,40B,9;4,,,4,,,5
28,SUBJECT DOMAIN 2,,,,,,4,,,5
11,DSC 80,DSC,80,6;9,,,4,,,6
12,ECON 120A / MATH 183 / MATH 180A,ECON,120A,8,,,4,,,6
13,DSC 106,DSC,106,11,,,4,,,7
14,DSC 140A / CSE 150A,DSC,140A,11;12,,,4,,,7
15,MATH 189 / MATH 181A,MATH,189,7;12;8,,,4,,,8
16,DSC 100,DSC,100,11;10,,,4,,,8
17,DSC 140B / CSE 151A,DSC,140B,11;12,,,4,,,8
29,MATH 189 (IF NOT COMPLETED),MATH,189,7;12;8,,,4,,,9
19,DSC 102,DSC,102,16,,,4,,,9
18,DSC 148 / CSE 158 (R),DSC,148,10;11;12,,,4,,,9
20,DSC 180A,DSC,180A,19;15;14;13,,,4,,,10
30,UD MAJOR ELECTIVE 1 (IF MATH 180A NOT TAKEN),,,,,,4,,,10
21,DSC 180B,DSC,180B,20,,,4,,,11
31,UD MAJOR ELECTIVE 2,,,,,,4,,,11
32,UD MAJOR ELECTIVE 3,,,,,,4,,,11
33,UD MAJOR ELECTIVE 5,,,,,,4,,,12
34,UD MAJOR ELECTIVE 4,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
35,FINE ARTS GE,,,,,,4,,,1
22,HUM 1,HUM,1,,,,6,,,2
23,HUM 2,HUM,2,,,,6,,,3
24,HUM 3,HUM,3,22,,,4,,,4
36,BIOLOGY GE,,,,,,4,,,4
25,HUM 4,HUM,4,,,,4,,,5
37,PHYSICS GE,,,,,,4,,,5
26,HUM 5,HUM,5,,,,4,,,6
38,CHEMISTRY GE,,,,,,4,,,6
39,SOCIAL SCIENCE / DEI,,,,,,4,,,7
40,LANGUAGE 1,,,,,,5,,,7
41,LANGUAGE 2,,,,,,5,,,8
42,LANGUAGE 3,,,,,,5,,,9
43,LANGUAGE 4,,,,,,5,,,10
44,NATURAL SCIENCE GE / JTCCER,,,,,,4,,,11
45,NATURAL SCIENCE GE,,,,,,4,,,12
