Curriculum,Global Health,,,,,,,,,
Degree Plan,Global Health/ Sixth,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,51.2210,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,GLBH 20,GLBH,20,,,,4,,,1
9,MAJOR LD CORE,,,,,,4,,,3
10,MAJOR LD STATISTICS,,,,,,4,,,5
2,GLBH 148,GLBH,148,,,,4,,,7
11,MAJOR UD ELECTIVE (MEDICAL SOCIAL SCIENCE) 1,,,,,,4,,,7
3,GLBH 181,GLBH,181,,,,4,,,8
12,MAJOR CORE UD POLICY ANALYSIS,,,,,,4,,,8
13,MAJOR UD ELECTIVE (MEDICAL SOCIAL SCIENCE) 2,,,,,,4,,,8
4,MGT 173,MGT,173,,,,4,,,9
14,MAJOR UD ELECTIVE (BIOLOGICAL SCIENCE) 1,,,,,,4,,,9
15,MAJOR UD ELECTIVE (SIGNIFICANT WRITING),,,,,,4,,,9
16,MAJOR UD ELECTIVE (MEDICAL HUMANITIES),,,,,,4,,,10
17,MAJOR UD ELECTIVE (BIOLOGICAL SCIENCE) 2,,,,,,4,,,10
18,MAJOR UD ELECTIVE (BIOLOGICAL SCIENCE) 3,,,,,,4,,,11
19,MAJOR UD ELECTIVE (GLOBAL PROCESSES),,,,,,4,,,11
20,MAJOR UD ELECTIVE (ADDITIONAL),,,,,,4,,,12
21,MAJOR UD ELECTIVE (MEDICAL SOCIAL SCIENCE) 3,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
5,CAT 1,CAT,1,,,,4,,,1
22,GE 1,,,,,,4,,,1
23,ELECTIVE 1,,,,,,4,,,1
6,CAT 2,CAT,2,5,,,6,,,2
24,GE 2,,,,,,4,,,2
25,ELECTIVE 2,,,,,,4,,,2
7,CAT 3,CAT,3,6,,,6,,,3
26,GE 3,,,,,,4,,,3
27,JTCCER,,,,,,4,,,4
28,GE 4,,,,,,4,,,4
29,ELECTIVE 3,,,,,,4,,,4
30,ELECTIVE 4,,,,,,4,,,4
31,GE (DEI),,,,,,4,,,5
32,ELECTIVE 5,,,,,,4,,,5
33,ELECTIVE 6,,,,,,4,,,5
34,GE 5,,,,,,4,,,6
35,GE 6,,,,,,4,,,6
36,ELECTIVE 7,,,,,,4,,,6
37,ELECTIVE 8,,,,,,4,,,6
38,ELECTIVE 9,,,,,,4,,,7
39,ELECTIVE 10,,,,,,4,,,7
40,ELECTIVE 11,,,,,,4,,,8
8,EXPERIENTIAL LEARNING / CAT 125 1,CAT,125,,,,4,,,9
41,EXPERIENTIAL LEARNING / CAT 125 2,CAT,125,,,,4,,,10
42,ELECTIVE 12,,,,,,4,,,10
43,ELECTIVE 13,,,,,,4,,,11
44,ELECTIVE 14,,,,,,4,,,12
