Curriculum,Global Health,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Quarter,,,,,,,,
CIP,51.2210,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,BILD 1,BILD,1,,,,4,,
2,BILD 2,BILD,2,1,,,4,,
3,MATH 10A / MATH 20A,MATH,10A,,,,4,,
4,MATH 10B / MATH 20B,MATH,10B,3,,,4,,
5,CHEM 6A,CHEM,6A,3,,,4,,
6,BILD 3,BILD,3,,,,4,,
7,CHEM 6B,CHEM,6B,5,,,4,,
14,MAJOR LD INTRO CORE 1,,,,,,4,,
8,CHEM 6C,CHEM,6C,7,,,4,,
15,MAJOR LD INTRO CORE 2,,,,,,4,,
9,PSYC 60 / MATH 11,PSYC,60,,,,4,,
10,CHEM 7L,CHEM,7L,7,,,4,,
11,GLBH 148,GLBH,148,,,,4,,
16,MAJOR UD ELECTIVE (BIOLOGICAL SCIENCE) 1,,,,,,4,,
17,MAJOR UD ELECTIVE (BIOLOGICAL SCIENCE) 2,,,,,,4,,
12,GLBH 181,GLBH,181,,,,4,,
13,MGT 173,MGT,173,,,,4,,
18,MAJOR UD ELECTIVE (BIOLOGICAL SCIENCE) 3,,,,,,4,,
19,MAJOR UD ELECTIVE (MEDICAL HUMANITIES),,,,,,4,,
20,MAJOR UD ELECTIVE (MEDICAL SOCIAL SCIENCE) 1,,,,,,4,,
21,MAJOR UD CORE POLICY ANALYSIS,,,,,,4,,
22,MAJOR UD ELECTIVE (MEDICAL SOCIAL SCIENCE) 2,,,,,,4,,
23,MAJOR UD ELECTIVE (MEDICAL SOCIAL SCIENCE) 3,,,,,,4,,
24,MAJOR UD ELECTIVE (MEDICAL SOCIAL SCIENCE) 4,,,,,,4,,
