Curriculum,International Studies-Linguistics,,,,,,,,,
Degree Plan,International Studies-Linguistics/ Warren,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,30.2001,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
8,LANGUAGE 1,,,,,,5,,,1
9,LANGUAGE 2,,,,,,5,,,2
10,LANGUAGE 3,,,,,,5,,,3
11,LANGUAGE 4,,,,,,5,,,4
1,INTL 100,INTL,100,4,,,4,,,5
2,INTL 101 / 102 1,INTL,101,1,,,4,,,6
3,DF1 - LINGUISTICS (LIGN 101),LIGN,101,,,,4,,,6
12,EAP / OAP (RECOMMENDED),,,,,,16,,,7
13,DF2 - LINGUISTICS,,,,,,4,,,8
14,IE1 - INTERDISC ELECTIVE (RR1),,,,,,4,,,8
15,INTL 101 / 102 2,INTL,101,1,,,4,,,8
16,DF4 - LINGUISTICS,,,,,,4,,,9
17,DF3 - LINGUISTICS (RR2),,,,,,4,,,9
18,IE2 - INTERDISC ELECTIVE,,,,,,4,,,9
19,DF5 - LINGUISTICS (RR3),,,,,,4,,,10
20,IE3 - INTERDISC ELECTIVE,,,,,,4,,,11
21,DF6 - LINGUISTICS,,,,,,4,,,11
22,DF7 - LINGUISTICS,,,,,,4,,,12
23,DF8 - LINGUISTICS,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
4,WCWP 10A,WCWP,10A,,,,4,,,1
24,GE 1,,,,,,4,,,1
5,WCWP 10B,WCWP,10B,4,,,4,,,2
25,GE 2,,,,,,4,,,2
26,GE 3,,,,,,4,,,2
6,PHIL 27 / POLI 27,PHIL,27,4;5,,,4,,,3
27,GE 4,,,,,,4,,,3
28,GE 5,,,,,,4,,,3
7,PHIL 28 / POLI 28,PHIL,28,6,,,4,,,4
29,GE 6,,,,,,4,,,4
30,ELECTIVE 1,,,,,,4,,,4
31,GE / JTCCER,,,,,,4,,,5
32,GE 7,,,,,,4,,,5
33,ELECTIVE 2,,,,,,4,,,5
34,GE / DEI,,,,,,4,,,6
35,ELECTIVE 3,,,,,,4,,,6
36,GE 8,,,,,,4,,,8
37,GE 9,,,,,,4,,,9
38,GE 10,,,,,,4,,,10
39,ELECTIVE 4,,,,,,4,,,10
40,GE 11,,,,,,4,,,11
41,GE 12,,,,,,4,,,12
