Curriculum,International Studies,,,,,,,,,
Degree Plan,International Studies/ Sixth,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,30.2001,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
19,LANGUAGE 1,,,,,,5,,,1
1,MATH 10 / 20A,MATH,10,,,,4,,,1
20,LANGUAGE 2,,,,,,5,,,2
21,MATH 10 / 20B,MATH,10,,,,4,,,2
22,LANGUAGE 3,,,,,,5,,,3
23,MATH 10 / 20C,MATH,10,,,,4,,,3
2,ECON1,ECON,1,,,,4,,,4
24,LANGUAGE 4,,,,,,5,,,4
3,ECON2,ECON,2,2,,,4,,,5
25,LANGUAGE 5,,,,,,5,,,5
4,ECON3,ECON,3,2,,,4,,,6
26,LANGUAGE 6,,,,,,5,,,6
5,INTL 100,INTL,100,15,,,4,,,7
27,UD ECON 1,,,,,,4,,,7
28,POLI / REGIONAL REQUIREMENT 1,,,,,,4,,,7
29,UD ECON 2,,,,,,4,,,7
6,INTL 101 / 102 1,INTL,101,5,,,4,,,8
30,UD ECON 3,,,,,,4,,,8
31,UD ECON / REGIONAL REQUIREMENT,,,,,,4,,,8
32,INTL 101 / 102 2,INTL,101,5,,,4,,,9
33,UD ECON 4,,,,,,4,,,9
34,POLI / REGIONAL REQUIREMENT 2,,,,,,4,,,9
7,GPCO401,GPCO,401,,,,4,,,10
8,GPCO453,GPCO,453,,,,4,,,10
9,GPCO412,GPCO,412,,,,4,,,10
10,GPCO400,GPCO,400,,,,4,,,11
11,GPCO454,GPCO,454,,,,4,,,11
12,GPCO415,GPCO,415,,,,4,,,11
13,GPCO403,GPCO,403,,,,4,,,12
14,GPCO410,GPCO,410,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
15,CAT 1,CAT,1,,,,4,,,1
35,GE 1,,,,,,4,,,1
16,CAT 2,CAT,2,15,,,6,,,2
36,GE 2,,,,,,4,,,2
17,CAT 3,CAT,3,16,,,6,,,3
37,GE 3,,,,,,4,,,3
38,GE (DEI),,,,,,4,,,4
39,GE 4,,,,,,4,,,4
40,GE 5,,,,,,4,,,5
41,ELECTIVE 1,,,,,,4,,,5
42,JTCCER,,,,,,4,,,6
18,CAT 125 / EXPERIENTIAL LEARNING 1,CAT,125,,,,4,,,6
43,CAT 125 / EXPERIENTIAL LEARNING 2,CAT,125,,,,4,,,8
44,ELECTIVE 2,,,,,,4,,,12
