Curriculum,Linguistics(Specialization in Cognition & Language),,,,,,,,,
Degree Plan,Linguistics(Specialization in Cognition & Language)/ Warren,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,30.2501,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
11,LANGUAGE REQUIREMENT 1,,,,,,5,,,1
12,LANGUAGE REQUIREMENT 2,,,,,,5,,,2
1,LIGN 101,LIGN,101,,,,4,,,2
13,LANGUAGE REQUIREMENT 3,,,,,,5,,,3
14,LANGUAGE REQUIREMENT 4,,,,,,5,,,4
2,LIGN 110,LIGN,110,1,,,4,,,4
3,LIGN 111,LIGN,111,2,,,4,,,5
4,LIGN 120,LIGN,120,1,,,4,,,6
15,LIGN ELECTIVE FROM LIST 1,,,,,,4,,,7
16,LIGN / OTHER UD ELECTIVE 1,,,,,,4,,,8
5,LIGN 121,LIGN,121,1,,,4,,,8
17,LIGN ELECTIVE FROM LIST 2,,,,,,4,,,9
6,LIGN 130,LIGN,130,1,,,4,,,9
18,LIGN ELECTIVE FROM LIST 3,,,,,,4,,,10
19,LIGN / OTHER UD ELECTIVE 2,,,,,,4,,,11
20,LIGN ELECTIVE FROM LIST 4,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
7,WCWP 10A,WCWP,10A,,,,4,,,1
21,GE 1,,,,,,4,,,1
22,ELECTIVE 1,,,,,,4,,,1
8,WCWP 10B,WCWP,10B,7,,,4,,,2
23,GE 2,,,,,,4,,,2
9,PHIL 27 / POLI 27,PHIL,27,7;8,,,4,,,3
24,GE 3,,,,,,4,,,3
25,ELECTIVE 2,,,,,,4,,,3
10,PHIL 28 / POLI 28,PHIL,28,9,,,4,,,4
26,GE 4,,,,,,4,,,4
27,GE / JTCCER,,,,,,4,,,5
28,GE 5,,,,,,4,,,5
29,ELECTIVE 3,,,,,,4,,,5
30,GE / DEI,,,,,,4,,,6
31,GE 6,,,,,,4,,,6
32,ELECTIVE 4,,,,,,4,,,6
33,GE 7,,,,,,4,,,7
34,ELECTIVE 5,,,,,,4,,,7
35,ELECTIVE 6,,,,,,4,,,7
36,GE 8,,,,,,4,,,8
37,ELECTIVE 7,,,,,,4,,,8
38,GE 9,,,,,,4,,,9
39,GE 10,,,,,,4,,,10
40,ELECTIVE 8,,,,,,4,,,10
41,GE 11,,,,,,4,,,11
42,ELECTIVE 9,,,,,,4,,,11
43,GE 12,,,,,,4,,,12
44,ELECTIVE 10,,,,,,4,,,12
