Curriculum,Literatures in English,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,
Degree Type,BA,,,,,,,,
System Type,Quarter,,,,,,,,
CIP,23.0101,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
8,LD LANGUAGE 1,,,,,,5,,
1,LTEN 21,LTEN,21,,,,4,,
9,LD LANGUAGE 2,,,,,,5,,
2,LTEN 23,LTEN,23,,,,4,,
3,LTEN 22,LTEN,22,,,,4,,
10,LD LANGUAGE 3,,,,,,5,,
11,LD LANGUAGE 4,,,,,,5,,
4,"LTEN 27, 28, 29 / 31",LTEN,27,,,,4,,
12,LD LANGUAGE 5,,,,,,5,,
5,LTEN 25,LTEN,25,,,,4,,
13,LD LANGUAGE 6,,,,,,5,,
6,LTEN 26,LTEN,26,,,,4,,
14,"UD LTEN (A, B, C, / D) 1",,,,,,4,,
15,"UD LTEN (A, B, C, / D) 2",,,,,,4,,
7,"LTCS 100, LTTH 110, / LTTH 115",LTCS,100,,,,4,,
16,"UD LTEN (A, B, C, / D) 3",,,,,,4,,
17,"UD LTEN (A, B, C, / D) 4",,,,,,4,,
18,UD LTAM,,,,,,4,,
19,UD LTEN 1,,,,,,4,,
20,UD LTEU,,,,,,4,,
21,UD LTAF / UD LTAM / UD LTEA / UD LTEU / UD LTWL,,,,,,4,,
22,UD LTEN 2,,,,,,4,,
23,UD LTEN 3,,,,,,4,,
24,UD LTEN 4,,,,,,4,,
