Curriculum,Mathematics (Applied),,,,,,,,,
Degree Plan,Mathematics (Applied)/ Warren,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,27.0301,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
2,MATH 20B,MATH,20B,1,,,4,,,2
3,MATH 18,MATH,18,,,,4,,,2
4,MATH 20C,MATH,20C,2,,,4,,,3
5,CSE 11,CSE,11,,,,4,,,4
6,MATH 20D / MATH 109,MATH,20D,4;3,,,4,,,4
7,MATH 109 / MATH 20D,MATH,109,3;4,,,4,,,5
13,UD MAJOR 1,,,,,,4,,,5
8,MATH 20E,MATH,20E,3;4,,,4,,,6
14,UD MAJOR 2,,,,,,4,,,7
15,UD MAJOR 3,,,,,,4,,,7
16,UD MAJOR 4,,,,,,4,,,8
17,UD MAJOR 5,,,,,,4,,,8
18,UD MAJOR 6,,,,,,4,,,9
19,UD MAJOR 7,,,,,,4,,,9
20,UD MAJOR 8,,,,,,4,,,10
21,UD MAJOR 9,,,,,,4,,,10
22,UD MAJOR 10,,,,,,4,,,11
23,UD MAJOR 11,,,,,,4,,,11
24,UD MAJOR 12,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
9,WCWP 10A,WCWP,10A,,,,4,,,1
25,GE 1,,,,,,4,,,1
26,GE 2,,,,,,4,,,1
10,WCWP 10B,WCWP,10B,9,,,4,,,2
27,GE 3,,,,,,4,,,2
11,PHIL 27 / POLI 27,PHIL,27,9;10,,,4,,,3
28,GE 4,,,,,,4,,,3
29,GE 5,,,,,,4,,,3
12,PHIL 28 / POLI 28,PHIL,28,11,,,4,,,4
30,GE 6,,,,,,4,,,4
31,GE / JTCCER,,,,,,4,,,5
32,GE 7,,,,,,4,,,5
33,GE / DEI,,,,,,4,,,6
34,GE 8,,,,,,4,,,6
35,GE 9,,,,,,4,,,6
36,GE 10,,,,,,4,,,7
37,ELECTIVE 1,,,,,,4,,,7
38,ELECTIVE 2,,,,,,4,,,8
39,ELECTIVE 3,,,,,,4,,,8
40,UD ELECTIVE 1,,,,,,4,,,9
41,ELECTIVE 4,,,,,,4,,,9
42,UD ELECTIVE 2,,,,,,4,,,10
43,ELECTIVE 5,,,,,,4,,,11
44,ELECTIVE 6,,,,,,4,,,12
45,ELECTIVE 7,,,,,,4,,,12
