Curriculum,Dance,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,
Degree Type,BA,,,,,,,,
System Type,Quarter,,,,,,,,
CIP,50.0301,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
3,LD STUDIES 1,,,,,,4,,
4,LD TDMV 1,,,,,,4,,
1,TDPR 6,TDPR,6,,,,4,,
5,LD TDMV 2,,,,,,4,,
6,UD TDMV 1,,,,,,4,,
7,LD STUDIES 2,,,,,,4,,
8,UD TDPF,,,,,,4,,
9,UD TDTR,,,,,,4,,
10,UD TDHD 1,,,,,,4,,
11,UD TDHD 2,,,,,,4,,
12,UD TDMV 2,,,,,,4,,
13,UD TDMV 3,,,,,,4,,
2,TDDM 1,TDDM,1,,,,4,,
14,UD TDDM,,,,,,4,,
15,UD TDMV 4,,,,,,4,,
16,UD TDMV 5,,,,,,4,,
17,UD TDMV 6,,,,,,4,,
18,UD TDMV 7,,,,,,4,,
