Curriculum,Interdisciplinary Computing and the Arts,,,,,,,,,
Degree Plan,Interdisciplinary Computing and the Arts/ Revelle,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,50.9999,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
15,FOUNDATION ART MAKING,,,,,,4,,,1
1,VIS 41,VIS,41,,,,4,,,1
9,MATH 10A / 20A (VIS / GE),MATH,10A,,,,4,,,2
2,VIS 22,VIS,22,,,,4,,,2
3,VIS 10,VIS,10,,,,4,,,3
4,VIS 70N,VIS,70N,,,,4,,,3
16,FOUNDATION CSE,,,,,,4,,,4
17,FOUNDATION INTERDISCIPLINARY,,,,,,4,,,4
18,HISTORY & THEORY,,,,,,4,,,5
5,VIS 159,VIS,159,,,,4,,,6
6,VIS 142,VIS,142,,,,4,,,7
19,INTERMEDIATE ART MAKING,,,,,,4,,,7
7,VIS 145A,VIS,145A,6,,,4,,,8
20,INTERMEDIATE COMPUTING 1,,,,,,4,,,8
21,ADVANCED COMPUTING 1,,,,,,4,,,9
22,INTERMEDIATE COMPUTING 2,,,,,,4,,,9
23,INTERMEDIATE INTERDISCIPLINARY,,,,,,4,,,10
24,ADVANCED INTERDISCIPLINARY,,,,,,4,,,11
25,ADVANCED COMPUTING 2,,,,,,4,,,11
8,VIS 160,VIS,160,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
26,SOCIAL SCIENCE GE / DEI,,,,,,4,,,1
10,HUM 1,HUM,1,,,,6,,,2
11,HUM 2,HUM,2,,,,6,,,3
12,HUM 3,HUM,3,10,,,4,,,4
27,BIOLOGY GE,,,,,,4,,,4
13,HUM 4,HUM,4,,,,4,,,5
28,MATH GE 1,,,,,,4,,,5
29,CHEMISTRY GE,,,,,,4,,,5
14,HUM 5,HUM,5,,,,4,,,6
30,MATH GE 2,,,,,,4,,,6
31,PHYSICS GE,,,,,,4,,,6
32,LANGUAGE 1,,,,,,5,,,7
33,LANGUAGE 2,,,,,,5,,,8
34,LANGUAGE 3,,,,,,5,,,9
35,UD ELECTIVE 1,,,,,,4,,,9
36,LANGUAGE 4,,,,,,5,,,10
37,UD ELECTIVE 2,,,,,,4,,,10
38,ELECTIVE 1,,,,,,4,,,10
39,NATURAL SCIENCE GE,,,,,,4,,,11
40,UD ELECTIVE 3,,,,,,4,,,11
41,NATURAL SCIENCE GE / JTCCER,,,,,,4,,,12
42,SOCIAL SCIENCE GE,,,,,,4,,,12
43,ELECTIVE 2,,,,,,4,,,12
